,word,corpus,iliad,odyssey
593,ξυνήϊα,2,2,0
594,κείμενα,2,1,1
595,πολίων,9,8,1
596,ἐξεπράθομεν,1,1,0
597,δέδασται,3,2,1
598,λαούς,14,11,3
599,ἐπέοικε,5,4,1
600,παλίλλογα,1,1,0
601,ταῦτ,21,12,9
602,ἐπαγείρειν,1,1,0
603,τήνδε,7,1,6
604,θεῷ,18,9,9
605,πρόες,3,3,0
606,τριπλῇ,1,1,0
607,τετραπλῇ,1,1,0
608,ἀποτείσομεν,1,1,0
609,κέ,113,49,64
610,ποθι,19,8,11
611,Ζεύς,253,165,88
612,δῷσι,3,1,2
613,Τροίην,27,22,5
614,εὐτείχεον,6,6,0
615,ἐξαλαπάξαι,6,5,1
616,οὕτως,34,17,17
617,ἀγαθός,59,49,10
618,ἐών,104,55,49
619,θεοείκελ,2,2,0
620,Ἀχιλλεῦ,22,16,6
621,κλέπτε,1,1,0
622,νόῳ,11,4,7
623,παρελεύσεαι,1,1,0
624,πείσεις,7,6,1
625,ἐθέλεις,35,19,16
626,ὄφρ,137,64,73
627,αὐτός,324,178,146
628,ἔχῃς,2,1,1
629,ἔμ,35,17,18
630,αὔτως,57,36,21
631,ἧσθαι,9,4,5
632,δευόμενον,3,2,1
633,κέλεαι,9,4,5
634,τήνδ,5,2,3
635,ἀποδοῦναι,3,3,0
636,ἄρσαντες,1,1,0
637,θυμόν,290,189,101
638,ὅπως,55,17,38
639,ἀντάξιον,2,2,0
640,ἔσται,57,35,22
641,δώωσιν,1,1,0
642,ἕλωμαι,5,5,0
643,τεόν,19,10,9
644,Αἴαντος,25,24,1
645,ἰών,88,38,50
646,Ὀδυσῆος,64,5,59
647,ἄξω,4,3,1
648,ἑλών,52,29,23
649,κεχολώσεται,4,2,2
650,ἵκωμαι,9,7,2
651,ταῦτα,95,47,48
652,μεταφρασόμεσθα,1,1,0
653,νῆα,112,13,99
654,μέλαιναν,49,21,28
655,ἐρύσσομεν,7,4,3
656,εἰς,279,121,158
657,ἅλα,49,28,21
658,δῖαν,38,15,23
659,ἐρέτας,4,2,2
660,ἐπιτηδές,2,1,1
661,ἀγείρομεν,2,1,1
662,θείομεν,3,3,0
663,ἄν,311,180,131
664,Χρυσηΐδα,4,4,0
665,καλλιπάρῃον,8,8,0
666,βήσομεν,1,1,0
667,εἷς,10,6,4
668,ἀρχός,9,8,1
669,ἀνήρ,191,99,92
670,βουληφόρος,3,3,0
671,ἔστω,21,12,9
672,Αἴας,98,95,3
673,Ἰδομενεύς,38,37,1
674,Ὀδυσσεύς,309,53,256
675,ἠέ,190,103,87
